class_id,name,status,naming_confidence,size_prototypes,size_fragments,dominant_intents,common_evidence_roles,class_objectives,member_documents
class_001,Policy-like Fragments,proposed,0.571,7,332,"[""rule_lookup"", ""exception_lookup"", ""applicability_check"", ""effective_date_lookup"", ""owner_lookup""]","[""condition"", ""rule"", ""exception"", ""audience"", ""scope"", ""effective_date""]","[""applicability_check"", ""rule_lookup"", ""exception_lookup"", ""approval_lookup"", ""owner_lookup"", ""effective_date_lookup""]","[""doc_0001"", ""doc_0005"", ""doc_0009"", ""doc_0011"", ""doc_0013"", ""doc_0019"", ""doc_0023"", ""doc_0027"", ""doc_0029"", ""doc_0033"", ""doc_0041"", ""doc_0043"", ""doc_0049"", ""doc_0051"", ""doc_0055"", ""doc_0057"", ""doc_0061"", ""doc_0063"", ""doc_0065"", ""doc_0069"", ""doc_0077"", ""doc_0079"", ""doc_0081"", ""doc_0083"", ""doc_0085"", ""doc_0087"", ""doc_0089"", ""doc_0103"", ""doc_0107"", ""doc_0111"", ""doc_0113"", ""doc_0115"", ""doc_0117"", ""doc_0121"", ""doc_0123"", ""doc_0125"", ""doc_0129"", ""doc_0131"", ""doc_0139"", ""doc_0141"", ""doc_0145"", ""doc_0157"", ""doc_0161"", ""doc_0165"", ""doc_0169"", ""doc_0179"", ""doc_0187"", ""doc_0189"", ""doc_0191"", ""doc_0193"", ""doc_0195"", ""doc_0199"", ""doc_0203"", ""doc_0207"", ""doc_0211"", ""doc_0213"", ""doc_0215"", ""doc_0227"", ""doc_0233"", ""doc_0237"", ""doc_0239"", ""doc_0243"", ""doc_0245"", ""doc_0249"", ""doc_0255"", ""doc_0259"", ""doc_0265"", ""doc_0271"", ""doc_0273"", ""doc_0279"", ""doc_0281"", ""doc_0283"", ""doc_0289"", ""doc_0299"", ""doc_0303"", ""doc_0305"", ""doc_0311"", ""doc_0313"", ""doc_0317"", ""doc_0327"", ""doc_0329"", ""doc_0335"", ""doc_0341"", ""doc_0347"", ""doc_0351"", ""doc_0355"", ""doc_0359"", ""doc_0361"", ""doc_0365"", ""doc_0369"", ""doc_0371"", ""doc_0373"", ""doc_0379"", ""doc_0385"", ""doc_0389"", ""doc_0391"", ""doc_0393"", ""doc_0399"", ""doc_0409"", ""doc_0411"", ""doc_0415"", ""doc_0417"", ""doc_0419"", ""doc_0425"", ""doc_0431"", ""doc_0433"", ""doc_0435"", ""doc_0439"", ""doc_0449"", ""doc_0453"", ""doc_0455"", ""doc_0457"", ""doc_0459"", ""doc_0461"", ""doc_0463"", ""doc_0465"", ""doc_0467"", ""doc_0471"", ""doc_0473"", ""doc_0479"", ""doc_0481"", ""doc_0483"", ""doc_0491"", ""doc_0493"", ""doc_0495"", ""doc_0499"", ""doc_0509"", ""doc_0511"", ""doc_0513"", ""doc_0519"", ""doc_0521"", ""doc_0533"", ""doc_0535"", ""doc_0537"", ""doc_0549"", ""doc_0551"", ""doc_0553"", ""doc_0554"", ""doc_0555"", ""doc_0557"", ""doc_0558"", ""doc_0559""]"
class_002,Approval Lookup Subspace,proposed,1.0,4,19,"[""approval_lookup""]","[""approver"", ""region"", ""amount_threshold""]","[""approval_lookup""]","[""doc_0301"", ""doc_0355"", ""doc_0549"", ""doc_0550"", ""doc_0552"", ""doc_0553"", ""doc_0554"", ""doc_0555"", ""doc_0559""]"
class_003,Metric Lookup Subspace,proposed,1.0,2,226,"[""metric_lookup""]","[""metric"", ""value"", ""period""]","[""metric_lookup""]","[""doc_0001"", ""doc_0013"", ""doc_0019"", ""doc_0021"", ""doc_0025"", ""doc_0027"", ""doc_0029"", ""doc_0031"", ""doc_0041"", ""doc_0043"", ""doc_0047"", ""doc_0051"", ""doc_0053"", ""doc_0057"", ""doc_0073"", ""doc_0079"", ""doc_0081"", ""doc_0083"", ""doc_0087"", ""doc_0089"", ""doc_0093"", ""doc_0095"", ""doc_0097"", ""doc_0107"", ""doc_0115"", ""doc_0121"", ""doc_0123"", ""doc_0131"", ""doc_0137"", ""doc_0139"", ""doc_0149"", ""doc_0153"", ""doc_0155"", ""doc_0157"", ""doc_0159"", ""doc_0161"", ""doc_0167"", ""doc_0169"", ""doc_0173"", ""doc_0175"", ""doc_0183"", ""doc_0185"", ""doc_0191"", ""doc_0193"", ""doc_0195"", ""doc_0199"", ""doc_0205"", ""doc_0207"", ""doc_0209"", ""doc_0217"", ""doc_0219"", ""doc_0221"", ""doc_0233"", ""doc_0245"", ""doc_0265"", ""doc_0275"", ""doc_0279"", ""doc_0293"", ""doc_0295"", ""doc_0297"", ""doc_0303"", ""doc_0317"", ""doc_0323"", ""doc_0327"", ""doc_0329"", ""doc_0345"", ""doc_0353"", ""doc_0355"", ""doc_0359"", ""doc_0361"", ""doc_0371"", ""doc_0373"", ""doc_0391"", ""doc_0395"", ""doc_0403"", ""doc_0405"", ""doc_0407"", ""doc_0419"", ""doc_0421"", ""doc_0427"", ""doc_0433"", ""doc_0437"", ""doc_0441"", ""doc_0443"", ""doc_0447"", ""doc_0449"", ""doc_0451"", ""doc_0455"", ""doc_0463"", ""doc_0465"", ""doc_0469"", ""doc_0477"", ""doc_0489"", ""doc_0491"", ""doc_0495"", ""doc_0497"", ""doc_0499"", ""doc_0501"", ""doc_0509"", ""doc_0513"", ""doc_0515"", ""doc_0531"", ""doc_0533"", ""doc_0537"", ""doc_0545"", ""doc_0551"", ""doc_0552""]"
class_004,Variance Explanation Subspace,proposed,1.0,2,99,"[""variance_explanation""]","[""variance"", ""variance_driver""]","[""variance_explanation""]","[""doc_0031"", ""doc_0047"", ""doc_0053"", ""doc_0057"", ""doc_0069"", ""doc_0073"", ""doc_0085"", ""doc_0119"", ""doc_0125"", ""doc_0127"", ""doc_0131"", ""doc_0137"", ""doc_0151"", ""doc_0173"", ""doc_0185"", ""doc_0191"", ""doc_0219"", ""doc_0221"", ""doc_0261"", ""doc_0263"", ""doc_0313"", ""doc_0319"", ""doc_0329"", ""doc_0335"", ""doc_0345"", ""doc_0353"", ""doc_0359"", ""doc_0405"", ""doc_0419"", ""doc_0421"", ""doc_0461"", ""doc_0469"", ""doc_0477"", ""doc_0489"", ""doc_0495"", ""doc_0527"", ""doc_0531"", ""doc_0539"", ""doc_0545"", ""doc_0549"", ""doc_0552""]"
class_005,Threshold Lookup Subspace,proposed,1.0,2,273,"[""threshold_lookup""]","[""amount_threshold"", ""region""]","[""threshold_lookup""]","[""doc_0007"", ""doc_0009"", ""doc_0019"", ""doc_0029"", ""doc_0033"", ""doc_0035"", ""doc_0037"", ""doc_0041"", ""doc_0045"", ""doc_0051"", ""doc_0055"", ""doc_0059"", ""doc_0063"", ""doc_0069"", ""doc_0073"", ""doc_0075"", ""doc_0077"", ""doc_0079"", ""doc_0081"", ""doc_0087"", ""doc_0089"", ""doc_0093"", ""doc_0095"", ""doc_0097"", ""doc_0107"", ""doc_0113"", ""doc_0115"", ""doc_0121"", ""doc_0123"", ""doc_0127"", ""doc_0129"", ""doc_0133"", ""doc_0137"", ""doc_0139"", ""doc_0141"", ""doc_0145"", ""doc_0147"", ""doc_0151"", ""doc_0155"", ""doc_0157"", ""doc_0161"", ""doc_0165"", ""doc_0169"", ""doc_0179"", ""doc_0185"", ""doc_0187"", ""doc_0193"", ""doc_0195"", ""doc_0201"", ""doc_0205"", ""doc_0209"", ""doc_0211"", ""doc_0213"", ""doc_0215"", ""doc_0219"", ""doc_0221"", ""doc_0223"", ""doc_0225"", ""doc_0227"", ""doc_0229"", ""doc_0237"", ""doc_0239"", ""doc_0241"", ""doc_0249"", ""doc_0251"", ""doc_0257"", ""doc_0263"", ""doc_0265"", ""doc_0271"", ""doc_0275"", ""doc_0279"", ""doc_0281"", ""doc_0289"", ""doc_0291"", ""doc_0297"", ""doc_0303"", ""doc_0311"", ""doc_0313"", ""doc_0315"", ""doc_0317"", ""doc_0319"", ""doc_0325"", ""doc_0329"", ""doc_0331"", ""doc_0333"", ""doc_0335"", ""doc_0345"", ""doc_0347"", ""doc_0351"", ""doc_0353"", ""doc_0359"", ""doc_0363"", ""doc_0365"", ""doc_0371"", ""doc_0375"", ""doc_0377"", ""doc_0379"", ""doc_0385"", ""doc_0389"", ""doc_0391"", ""doc_0393"", ""doc_0401"", ""doc_0405"", ""doc_0407"", ""doc_0411"", ""doc_0415"", ""doc_0417"", ""doc_0419"", ""doc_0423"", ""doc_0427"", ""doc_0431"", ""doc_0433"", ""doc_0435"", ""doc_0441"", ""doc_0443"", ""doc_0445"", ""doc_0455"", ""doc_0461"", ""doc_0463"", ""doc_0465"", ""doc_0483"", ""doc_0487"", ""doc_0491"", ""doc_0493"", ""doc_0495"", ""doc_0501"", ""doc_0507"", ""doc_0511"", ""doc_0515"", ""doc_0519"", ""doc_0521"", ""doc_0523"", ""doc_0525"", ""doc_0527"", ""doc_0543"", ""doc_0555""]"
